assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_004010675.1	PRJNA224116	SAMN04549845	na	na	na	na	562	562	Escherichia coli	strain=2010C-3347	na	latest	Complete Genome	Major	Full	2019-01-10	ASM401067v1		GCA_004010675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/675/GCF_004010675.1_ASM401067v1	./../Escherichia/GCF_004010675.1_ASM401067v1_genomic.fna.gz
GCF_004010695.1	PRJNA224116	SAMN04505650	na	na	na	na	562	562	Escherichia coli	strain=2010C-3142	na	latest	Complete Genome	Major	Full	2019-01-10	ASM401069v1		GCA_004010695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/695/GCF_004010695.1_ASM401069v1	./../Escherichia/GCF_004010695.1_ASM401069v1_genomic.fna.gz
GCF_004010715.1	PRJNA224116	SAMN04504880	na	na	na	na	562	562	Escherichia coli	strain=08-3914	na	latest	Complete Genome	Major	Full	2019-01-10	ASM401071v1		GCA_004010715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/715/GCF_004010715.1_ASM401071v1	./../Escherichia/GCF_004010715.1_ASM401071v1_genomic.fna.gz
GCF_004011015.1	PRJNA224116	SAMN08222594	na	na	na	na	562	562	Escherichia coli	strain=E-1246	na	latest	Complete Genome	Major	Full	2019-01-10	ASM401101v1		GCA_004011015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/011/015/GCF_004011015.1_ASM401101v1	./../Escherichia/GCF_004011015.1_ASM401101v1_genomic.fna.gz
GCF_004022505.2	PRJNA224116	SAMN10713359	na	na	na	na	562	562	Escherichia coli	strain=MT102	na	latest	Complete Genome	Major	Full	2019-02-04	ASM402250v2		GCA_004022505.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/022/505/GCF_004022505.2_ASM402250v2	./../Escherichia/GCF_004022505.2_ASM402250v2_genomic.fna.gz
GCF_004088295.1	PRJNA224116	SAMN10743440	na	na	na	na	562	562	Escherichia coli	strain=EC25	na	latest	Complete Genome	Major	Full	2019-01-21	ASM408829v1		GCA_004088295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/088/295/GCF_004088295.1_ASM408829v1	./../Escherichia/GCF_004088295.1_ASM408829v1_genomic.fna.gz
GCF_004114395.1	PRJNA224116	SAMN10535911	na	na	na	na	562	562	Escherichia coli	strain=RS571	na	latest	Complete Genome	Major	Full	2019-01-25	ASM411439v1		GCA_004114395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/114/395/GCF_004114395.1_ASM411439v1	./../Escherichia/GCF_004114395.1_ASM411439v1_genomic.fna.gz
GCF_004135125.1	PRJNA224116	SAMN10824104	na	na	na	na	562	562	Escherichia coli	strain=NissleGFP_pZE21	na	latest	Complete Genome	Major	Full	2019-02-03	ASM413512v1		GCA_004135125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/125/GCF_004135125.1_ASM413512v1	./../Escherichia/GCF_004135125.1_ASM413512v1_genomic.fna.gz
GCF_004135165.1	PRJNA224116	SAMN10817700	na	na	na	na	562	562	Escherichia coli	strain=U13A	na	latest	Complete Genome	Major	Full	2019-02-03	ASM413516v1		GCA_004135165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/165/GCF_004135165.1_ASM413516v1	./../Escherichia/GCF_004135165.1_ASM413516v1_genomic.fna.gz
GCF_004135815.1	PRJNA224116	SAMN10531954	na	na	na	na	562	562	Escherichia coli	strain=CRE10	na	latest	Complete Genome	Major	Full	2019-02-04	ASM413581v1		GCA_004135815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/815/GCF_004135815.1_ASM413581v1	./../Escherichia/GCF_004135815.1_ASM413581v1_genomic.fna.gz
GCF_004135855.1	PRJNA224116	SAMN08450093	na	na	na	na	562	562	Escherichia coli	strain=FORC_082	na	latest	Complete Genome	Major	Full	2019-02-04	ASM413585v1		GCA_004135855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/855/GCF_004135855.1_ASM413585v1	./../Escherichia/GCF_004135855.1_ASM413585v1_genomic.fna.gz
GCF_004135915.1	PRJNA224116	SAMN10836813	na	na	na	na	562	562	Escherichia coli	strain=U14A	na	latest	Complete Genome	Major	Full	2019-02-04	ASM413591v1		GCA_004135915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/915/GCF_004135915.1_ASM413591v1	./../Escherichia/GCF_004135915.1_ASM413591v1_genomic.fna.gz
GCF_004141955.1	PRJNA224116	SAMN10817475	na	na	na	na	562	562	Escherichia coli	strain=U12A	na	latest	Complete Genome	Major	Full	2019-02-04	ASM414195v1		GCA_004141955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/141/955/GCF_004141955.1_ASM414195v1	./../Escherichia/GCF_004141955.1_ASM414195v1_genomic.fna.gz
GCF_004193755.1	PRJNA224116	SAMN10837069	na	na	na	na	562	562	Escherichia coli	strain=U15A	na	latest	Complete Genome	Major	Full	2019-02-13	ASM419375v1		GCA_004193755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/193/755/GCF_004193755.1_ASM419375v1	./../Escherichia/GCF_004193755.1_ASM419375v1_genomic.fna.gz
GCF_004295365.1	PRJNA224116	SAMN10956393	na	na	na	na	562	562	Escherichia coli	strain=WCHEC025970	na	latest	Complete Genome	Major	Full	2019-02-25	ASM429536v1		GCA_004295365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/295/365/GCF_004295365.1_ASM429536v1	./../Escherichia/GCF_004295365.1_ASM429536v1_genomic.fna.gz
GCF_004299805.1	PRJNA224116	SAMN10879429	na	na	na	na	562	562	Escherichia coli	strain=S65EC	na	latest	Complete Genome	Major	Full	2019-02-26	ASM429980v1		GCA_004299805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/299/805/GCF_004299805.1_ASM429980v1	./../Escherichia/GCF_004299805.1_ASM429980v1_genomic.fna.gz
GCF_004301465.1	PRJNA224116	SAMN10219252	na	na	na	na	562	562	Escherichia coli	strain=L725	na	latest	Complete Genome	Major	Full	2019-02-26	ASM430146v1		GCA_004301465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/301/465/GCF_004301465.1_ASM430146v1	./../Escherichia/GCF_004301465.1_ASM430146v1_genomic.fna.gz
GCF_004328685.1	PRJNA224116	SAMN10768946	na	na	na	na	562	562	Escherichia coli	strain=D72	na	latest	Complete Genome	Major	Full	2019-03-06	ASM432868v1		GCA_004328685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/685/GCF_004328685.1_ASM432868v1	./../Escherichia/GCF_004328685.1_ASM432868v1_genomic.fna.gz
