assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_022354565.1	PRJNA224116	SAMN13925603	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=SWHIN_111	na	latest	Complete Genome	Major	Full	2022-02-22	ASM2235456v1		GCA_022354565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/354/565/GCF_022354565.1_ASM2235456v1	./Development/ThreeFold/data/external/Citrobacter/GCF_022354565.1_ASM2235456v1_genomic.fna.gz
GCF_023374935.1	PRJNA224116	SAMN24404971	na	na	reference genome	na	1639133	1639133	Citrobacter portucalensis	strain=Cf7303	na	latest	Complete Genome	Major	Full	2022-05-16	ASM2337493v1		GCA_023374935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/374/935/GCF_023374935.1_ASM2337493v1	./Development/ThreeFold/data/external/Citrobacter/GCF_023374935.1_ASM2337493v1_genomic.fna.gz
GCF_023650815.1	PRJNA224116	SAMN23798780	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=GD21SC92T	na	latest	Complete Genome	Major	Full	2022-06-06	ASM2365081v1		GCA_023650815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/650/815/GCF_023650815.1_ASM2365081v1	./Development/ThreeFold/data/external/Citrobacter/GCF_023650815.1_ASM2365081v1_genomic.fna.gz
GCF_029719185.1	PRJNA224116	SAMN15488627	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=RHB40-E3-C05	na	latest	Complete Genome	Major	Full	2023-04-13	ASM2971918v1		GCA_029719185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/719/185/GCF_029719185.1_ASM2971918v1	./Development/ThreeFold/data/external/Citrobacter/GCF_029719185.1_ASM2971918v1_genomic.fna.gz
GCF_029719205.1	PRJNA224116	SAMN15488626	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=RHB40-E3-C01	na	latest	Complete Genome	Major	Full	2023-04-13	ASM2971920v1		GCA_029719205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/719/205/GCF_029719205.1_ASM2971920v1	./Development/ThreeFold/data/external/Citrobacter/GCF_029719205.1_ASM2971920v1_genomic.fna.gz
GCF_029719225.1	PRJNA224116	SAMN15488622	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=RHB38-SO-C05	na	latest	Complete Genome	Major	Full	2023-04-13	ASM2971922v1		GCA_029719225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/719/225/GCF_029719225.1_ASM2971922v1	./Development/ThreeFold/data/external/Citrobacter/GCF_029719225.1_ASM2971922v1_genomic.fna.gz
GCF_030169875.1	PRJNA224116	SAMN30685708	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=AHM21C2861I	na	latest	Complete Genome	Major	Full	2023-06-05	ASM3016987v1		GCA_030169875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/169/875/GCF_030169875.1_ASM3016987v1	./Development/ThreeFold/data/external/Citrobacter/GCF_030169875.1_ASM3016987v1_genomic.fna.gz
GCF_030179595.1	PRJNA224116	SAMN30974101	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=2017-45-163	na	latest	Complete Genome	Major	Full	2023-06-06	ASM3017959v1		GCA_030179595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/179/595/GCF_030179595.1_ASM3017959v1	./Development/ThreeFold/data/external/Citrobacter/GCF_030179595.1_ASM3017959v1_genomic.fna.gz
GCF_031851535.1	PRJNA224116	SAMN37298521	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=64A:C	na	latest	Complete Genome	Major	Full	2023-09-24	ASM3185153v1		GCA_031851535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/851/535/GCF_031851535.1_ASM3185153v1	./Development/ThreeFold/data/external/Citrobacter/GCF_031851535.1_ASM3185153v1_genomic.fna.gz
GCF_032917905.1	PRJNA224116	SAMN37738783	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=L2724hy	na	latest	Complete Genome	Major	Full	2023-10-22	ASM3291790v1		GCA_032917905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/917/905/GCF_032917905.1_ASM3291790v1	./Development/ThreeFold/data/external/Citrobacter/GCF_032917905.1_ASM3291790v1_genomic.fna.gz
