assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_022353845.1	PRJNA224116	SAMN13925540	na	na	na	na	584	584	Proteus mirabilis	strain=STIN_74	na	latest	Complete Genome	Major	Full	2022-02-22	ASM2235384v1		GCA_022353845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/353/845/GCF_022353845.1_ASM2235384v1	./../Proteus/GCF_022353845.1_ASM2235384v1_genomic.fna.gz
GCF_022354605.1	PRJNA224116	SAMN13925601	na	na	na	na	584	584	Proteus mirabilis	strain=SWHIN_109	na	latest	Complete Genome	Major	Full	2022-02-22	ASM2235460v1		GCA_022354605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/354/605/GCF_022354605.1_ASM2235460v1	./../Proteus/GCF_022354605.1_ASM2235460v1_genomic.fna.gz
GCF_022453625.1	PRJNA224116	SAMN26106932	na	na	na	na	584	584	Proteus mirabilis	strain=PM8762	na	latest	Complete Genome	Major	Full	2022-03-03	ASM2245362v1		GCA_022453625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/453/625/GCF_022453625.1_ASM2245362v1	./../Proteus/GCF_022453625.1_ASM2245362v1_genomic.fna.gz
GCF_023093855.1	PRJNA224116	SAMN27177301	na	na	na	na	584	584	Proteus mirabilis	strain=T1010	na	latest	Complete Genome	Major	Full	2022-04-24	ASM2309385v1		GCA_023093855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/093/855/GCF_023093855.1_ASM2309385v1	./../Proteus/GCF_023093855.1_ASM2309385v1_genomic.fna.gz
GCF_023242175.1	PRJNA224116	SAMN27518677	na	na	na	na	584	584	Proteus mirabilis	strain=HURS-181823	na	latest	Complete Genome	Major	Full	2022-05-05	ASM2324217v1		GCA_023242175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/242/175/GCF_023242175.1_ASM2324217v1	./../Proteus/GCF_023242175.1_ASM2324217v1_genomic.fna.gz
GCF_023242195.1	PRJNA224116	SAMN27518675	na	na	na	na	584	584	Proteus mirabilis	strain=HURS-186083	na	latest	Complete Genome	Major	Full	2022-05-05	ASM2324219v1		GCA_023242195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/242/195/GCF_023242195.1_ASM2324219v1	./../Proteus/GCF_023242195.1_ASM2324219v1_genomic.fna.gz
GCF_023702555.1	PRJNA224116	SAMN28745298	na	na	na	na	584	584	Proteus mirabilis	strain=FZP2826	na	latest	Complete Genome	Major	Full	2022-06-12	ASM2370255v1		GCA_023702555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/702/555/GCF_023702555.1_ASM2370255v1	./../Proteus/GCF_023702555.1_ASM2370255v1_genomic.fna.gz
GCF_023702575.1	PRJNA224116	SAMN28745299	na	na	na	na	584	584	Proteus mirabilis	strain=FZP2936	na	latest	Complete Genome	Major	Full	2022-06-12	ASM2370257v1		GCA_023702575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/702/575/GCF_023702575.1_ASM2370257v1	./../Proteus/GCF_023702575.1_ASM2370257v1_genomic.fna.gz
GCF_023702595.1	PRJNA224116	SAMN28745301	na	na	na	na	584	584	Proteus mirabilis	strain=FZP3115	na	latest	Complete Genome	Major	Full	2022-06-12	ASM2370259v1		GCA_023702595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/702/595/GCF_023702595.1_ASM2370259v1	./../Proteus/GCF_023702595.1_ASM2370259v1_genomic.fna.gz
GCF_024138795.1	PRJNA224116	SAMN18275117	na	na	na	na	584	584	Proteus mirabilis	strain=swupm1	na	latest	Complete Genome	Major	Full	2022-07-05	ASM2413879v1		GCA_024138795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/138/795/GCF_024138795.1_ASM2413879v1	./../Proteus/GCF_024138795.1_ASM2413879v1_genomic.fna.gz
GCF_024138815.1	PRJNA224116	SAMN18275150	na	na	na	na	584	584	Proteus mirabilis	strain=swupm2	na	latest	Complete Genome	Major	Full	2022-07-05	ASM2413881v1		GCA_024138815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/138/815/GCF_024138815.1_ASM2413881v1	./../Proteus/GCF_024138815.1_ASM2413881v1_genomic.fna.gz
GCF_024138835.1	PRJNA224116	SAMN18275199	na	na	na	na	584	584	Proteus mirabilis	strain=swupm3	na	latest	Complete Genome	Major	Full	2022-07-05	ASM2413883v1		GCA_024138835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/138/835/GCF_024138835.1_ASM2413883v1	./../Proteus/GCF_024138835.1_ASM2413883v1_genomic.fna.gz
GCF_025264285.1	PRJNA224116	SAMN09908145	na	na	na	na	584	584	Proteus mirabilis	strain=XH983	na	latest	Complete Genome	Major	Full	2022-09-19	ASM2526428v1		GCA_025264285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/264/285/GCF_025264285.1_ASM2526428v1	./../Proteus/GCF_025264285.1_ASM2526428v1_genomic.fna.gz
GCF_025398955.1	PRJNA224116	SAMN30648324	na	na	na	na	584	584	Proteus mirabilis	strain=NG-ABK-32	na	latest	Complete Genome	Major	Full	2022-09-25	ASM2539895v1		GCA_025398955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/398/955/GCF_025398955.1_ASM2539895v1	./../Proteus/GCF_025398955.1_ASM2539895v1_genomic.fna.gz
GCF_025490355.1	PRJNA224116	SAMN30912358	na	na	na	na	584	584	Proteus mirabilis	strain=W47	na	latest	Complete Genome	Major	Full	2022-09-29	ASM2549035v1		GCA_025490355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/490/355/GCF_025490355.1_ASM2549035v1	./../Proteus/GCF_025490355.1_ASM2549035v1_genomic.fna.gz
GCF_025998255.1	PRJNA224116	SAMD00396921	na	na	na	na	584	584	Proteus mirabilis	strain=NUITM-VP1	na	latest	Complete Genome	Major	Full	2022-09-22	ASM2599825v1		GCA_025998255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/998/255/GCF_025998255.1_ASM2599825v1	./../Proteus/GCF_025998255.1_ASM2599825v1_genomic.fna.gz
GCF_026016045.1	PRJNA224116	SAMN31527003	na	na	na	na	584	584	Proteus mirabilis	strain=CZP17	na	latest	Complete Genome	Major	Full	2022-11-07	ASM2601604v1		GCA_026016045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/016/045/GCF_026016045.1_ASM2601604v1	./../Proteus/GCF_026016045.1_ASM2601604v1_genomic.fna.gz
GCF_026016065.1	PRJNA224116	SAMN31527195	na	na	na	na	584	584	Proteus mirabilis	strain=CZP44	na	latest	Complete Genome	Major	Full	2022-11-07	ASM2601606v1		GCA_026016065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/016/065/GCF_026016065.1_ASM2601606v1	./../Proteus/GCF_026016065.1_ASM2601606v1_genomic.fna.gz
GCF_026016085.1	PRJNA224116	SAMN31527216	na	na	na	na	584	584	Proteus mirabilis	strain=CZP26	na	latest	Complete Genome	Major	Full	2022-11-07	ASM2601608v1		GCA_026016085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/016/085/GCF_026016085.1_ASM2601608v1	./../Proteus/GCF_026016085.1_ASM2601608v1_genomic.fna.gz
GCF_026016105.1	PRJNA224116	SAMN31527276	na	na	na	na	584	584	Proteus mirabilis	strain=NYP69	na	latest	Complete Genome	Major	Full	2022-11-07	ASM2601610v1		GCA_026016105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/016/105/GCF_026016105.1_ASM2601610v1	./../Proteus/GCF_026016105.1_ASM2601610v1_genomic.fna.gz
GCF_026016125.1	PRJNA224116	SAMN31527305	na	na	na	na	584	584	Proteus mirabilis	strain=NYP73	na	latest	Complete Genome	Major	Full	2022-11-07	ASM2601612v1		GCA_026016125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/016/125/GCF_026016125.1_ASM2601612v1	./../Proteus/GCF_026016125.1_ASM2601612v1_genomic.fna.gz
GCF_026016145.1	PRJNA224116	SAMN31527278	na	na	na	na	584	584	Proteus mirabilis	strain=NYP6	na	latest	Complete Genome	Major	Full	2022-11-07	ASM2601614v1		GCA_026016145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/016/145/GCF_026016145.1_ASM2601614v1	./../Proteus/GCF_026016145.1_ASM2601614v1_genomic.fna.gz
GCF_026167565.1	PRJNA224116	SAMN31634663	na	na	na	na	584	584	Proteus mirabilis	strain=DP2019	na	latest	Complete Genome	Major	Full	2022-11-14	ASM2616756v1		GCA_026167565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/167/565/GCF_026167565.1_ASM2616756v1	./../Proteus/GCF_026167565.1_ASM2616756v1_genomic.fna.gz
GCF_028596005.1	PRJNA224116	SAMN26871936	na	na	na	na	584	584	Proteus mirabilis	strain=181-3b	na	latest	Complete Genome	Major	Full	2023-02-12	ASM2859600v1		GCA_028596005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/596/005/GCF_028596005.1_ASM2859600v1	./../Proteus/GCF_028596005.1_ASM2859600v1_genomic.fna.gz
GCF_028768505.1	PRJNA224116	SAMN33299137	na	na	na	na	584	584	Proteus mirabilis	strain=CY32	na	latest	Complete Genome	Major	Full	2023-02-22	ASM2876850v1		GCA_028768505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/768/505/GCF_028768505.1_ASM2876850v1	./../Proteus/GCF_028768505.1_ASM2876850v1_genomic.fna.gz
GCF_029201285.1	PRJNA224116	SAMN33575657	na	na	na	na	584	584	Proteus mirabilis	strain=HK294	na	latest	Complete Genome	Major	Full	2023-03-14	ASM2920128v1		GCA_029201285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/201/285/GCF_029201285.1_ASM2920128v1	./../Proteus/GCF_029201285.1_ASM2920128v1_genomic.fna.gz
GCF_029542365.1	PRJNA224116	SAMN32686646	na	na	na	na	584	584	Proteus mirabilis	strain=PM1-chromosome	na	latest	Complete Genome	Major	Full	2023-04-03	ASM2954236v1		GCA_029542365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/542/365/GCF_029542365.1_ASM2954236v1	./../Proteus/GCF_029542365.1_ASM2954236v1_genomic.fna.gz
GCF_029962305.1	PRJNA224116	SAMN34510058	na	na	na	na	584	584	Proteus mirabilis	strain=WSY-114	na	latest	Complete Genome	Major	Full	2023-05-10	ASM2996230v1		GCA_029962305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/962/305/GCF_029962305.1_ASM2996230v1	./../Proteus/GCF_029962305.1_ASM2996230v1_genomic.fna.gz
GCF_030062035.1	PRJNA224116	SAMN29841163	na	na	na	na	584	584	Proteus mirabilis	strain=MN029	na	latest	Complete Genome	Major	Full	2023-05-22	ASM3006203v1		GCA_030062035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/062/035/GCF_030062035.1_ASM3006203v1	./../Proteus/GCF_030062035.1_ASM3006203v1_genomic.fna.gz
GCF_030166375.1	PRJNA224116	SAMN35302129	na	na	na	na	584	584	Proteus mirabilis	strain=W2	na	latest	Complete Genome	Major	Full	2023-06-05	ASM3016637v1		GCA_030166375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/166/375/GCF_030166375.1_ASM3016637v1	./../Proteus/GCF_030166375.1_ASM3016637v1_genomic.fna.gz
GCF_030323005.1	PRJNA224116	SAMN27918893	na	na	na	na	584	584	Proteus mirabilis	strain=51661	na	latest	Complete Genome	Major	Full	2023-06-22	ASM3032300v1		GCA_030323005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/323/005/GCF_030323005.1_ASM3032300v1	./../Proteus/GCF_030323005.1_ASM3032300v1_genomic.fna.gz
GCF_031658075.1	PRJNA224116	SAMN37442925	na	na	na	na	584	584	Proteus mirabilis	strain=2023CK-01118	na	latest	Complete Genome	Major	Full	2024-11-02	ASM3165807v3		GCA_031658075.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/658/075/GCF_031658075.1_ASM3165807v3	./../Proteus/GCF_031658075.1_ASM3165807v3_genomic.fna.gz
GCF_032761195.1	PRJNA224116	SAMN37729294	na	na	na	na	584	584	Proteus mirabilis	strain=PM1	na	latest	Complete Genome	Major	Full	2023-10-17	ASM3276119v1		GCA_032761195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/761/195/GCF_032761195.1_ASM3276119v1	./../Proteus/GCF_032761195.1_ASM3276119v1_genomic.fna.gz
GCF_033170405.1	PRJNA224116	SAMN37935180	na	na	na	na	584	584	Proteus mirabilis	strain=PM22	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3317040v1		GCA_033170405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/170/405/GCF_033170405.1_ASM3317040v1	./../Proteus/GCF_033170405.1_ASM3317040v1_genomic.fna.gz
