assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_018283505.2	PRJNA224116	SAMN18913844	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=MRSN752019	na	latest	Complete Genome	Major	Full	2021-10-12	ASM1828350v2		GCA_018283505.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/283/505/GCF_018283505.2_ASM1828350v2	./Klebsiella/GCF_018283505.2_ASM1828350v2_genomic.fna.gz
GCF_018310495.1	PRJNA224116	SAMN18913859	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=MRSN752165	na	latest	Complete Genome	Major	Full	2021-05-09	ASM1831049v1		GCA_018310495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/310/495/GCF_018310495.1_ASM1831049v1	./Klebsiella/GCF_018310495.1_ASM1831049v1_genomic.fna.gz
GCF_018314145.1	PRJNA224116	SAMN18920621	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=kpn-hnqyy	na	latest	Complete Genome	Major	Full	2021-05-10	ASM1831414v1		GCA_018314145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/314/145/GCF_018314145.1_ASM1831414v1	./Klebsiella/GCF_018314145.1_ASM1831414v1_genomic.fna.gz
GCF_018604765.1	PRJNA224116	SAMN16453377	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=90CM2	na	latest	Complete Genome	Major	Full	2021-06-01	ASM1860476v1		GCA_018604765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/765/GCF_018604765.1_ASM1860476v1	./Klebsiella/GCF_018604765.1_ASM1860476v1_genomic.fna.gz
GCF_018623335.1	PRJNA224116	SAMN18317431	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WGR351	na	latest	Complete Genome	Major	Full	2021-06-02	ASM1862333v1		GCA_018623335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/623/335/GCF_018623335.1_ASM1862333v1	./Klebsiella/GCF_018623335.1_ASM1862333v1_genomic.fna.gz
GCF_019286375.1	PRJNA224116	SAMN20115014	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC01_S465PC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928637v1		GCA_019286375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/286/375/GCF_019286375.1_ASM1928637v1	./Klebsiella/GCF_019286375.1_ASM1928637v1_genomic.fna.gz
GCF_019286455.1	PRJNA224116	SAMN20115067	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC03_AI1235PC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928645v1		GCA_019286455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/286/455/GCF_019286455.1_ASM1928645v1	./Klebsiella/GCF_019286455.1_ASM1928645v1_genomic.fna.gz
GCF_019286515.1	PRJNA224116	SAMN20115068	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC04_AI1235MC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928651v1		GCA_019286515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/286/515/GCF_019286515.1_ASM1928651v1	./Klebsiella/GCF_019286515.1_ASM1928651v1_genomic.fna.gz
GCF_019286635.1	PRJNA224116	SAMN20115179	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC05_CMC387PC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928663v1		GCA_019286635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/286/635/GCF_019286635.1_ASM1928663v1	./Klebsiella/GCF_019286635.1_ASM1928663v1_genomic.fna.gz
GCF_019286695.1	PRJNA224116	SAMN20115183	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC06_CMC387MC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928669v1		GCA_019286695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/286/695/GCF_019286695.1_ASM1928669v1	./Klebsiella/GCF_019286695.1_ASM1928669v1_genomic.fna.gz
